country,crop,year,rainfall,pesticides,temperature,Actual (A),Predicted (P),Absolute Error (AE),Residual (R) (A - P) ,R^2,,,,,,,,
Burundi,Potatoes,2004,1274,508.26,21.71,28732,39452,10720,-10720,114918400,,,,,,,,
Canada,Maize,2002,537,34226,7.48,70128,70128,0,0,0,,,,,,,,
Japan,Wheat,1994,1668,79821.18,16.07,37182,37182,0,0,0,,Sum R^2,MSE,,Sum AE,MAE,,RMSE
Indonesia,"Rice, paddy",2009,2702,1597,27.63,49985,49985,0,0,0,,8.16347E+11,144511745,,21060367,3728.158435,,12021.3038
Pakistan,Maize,2008,494,4946.79,23.21,34154,34154,0,0,0,,,,,,,,
Pakistan,Sorghum,1993,494,4945,18.91,5821,5910,89,-89,7921,,,,,,,,
Chile,Potatoes,1993,1522,15373,6.16,145947,150300,4353,-4353,18948609,,,,,,,,
Egypt,Potatoes,1990,51,13214,20.73,205592,158256,47336,47336,2240696896,,Accuretly Predicted,with Error,,,,,
Brazil,Wheat,2008,1761,312637,26.94,25497,25497,0,0,0,,3186,2463,,,,,
Iraq,Maize,1990,216,692,23.41,24814,21857,2957,2957,8743849,%,56.39936272,43.60063728,,,,,
Uruguay,Sweet potatoes,2006,1300,9143.45,17.13,91892,94286,2394,-2394,5731236,,,,,,,,
Dominican Republic,Plantains and others,1998,1410,4375,27.14,79861,79861,0,0,0,,,,,,,,
Argentina,"Rice, paddy",2001,591,63700.17,18.42,57495,57495,0,0,0,,100th Error,122,,,,,
Australia,Potatoes,2013,534,45177.18,17.39,385434,385434,0,0,0,,1000th Error,505,,,,,
Estonia,Wheat,2006,626,452,6.7,24173,34746,10573,-10573,111788329,,"10,000th error",1283,,,,,
South Africa,Maize,2001,495,26857,21.25,24371,24371,0,0,0,,">10,000th error",553,,,,,
Sri Lanka,Soybeans,2000,1712,1695.71,26.43,9275,9688,413,-413,170569,,,,,,,,
Lithuania,Wheat,2002,656,792.6,7.26,36335,27815,8520,8520,72590400,,,,,,,,
Morocco,Maize,2004,346,15064,18.07,9152,2036,7116,7116,50637456,,,,,,,,
India,Soybeans,1999,1083,46195,26.21,11380,11380,0,0,0,,,,,,,,
Brazil,Sorghum,1990,1761,49695,17.77,17150,17150,0,0,0,,,,,,,,
Argentina,Soybeans,2002,591,64134.56,17.58,26304,25846,458,458,209764,,,,,,,,
Pakistan,Sweet potatoes,1997,494,16936,23.76,104716,104716,0,0,0,,,,,,,,
Saudi Arabia,Potatoes,2009,59,4528.51,26.71,251423,251423,0,0,0,,,,,,,,
Brazil,Potatoes,2001,1761,151523,27.08,184997,184997,0,0,0,,,,,,,,
Pakistan,"Rice, paddy",2008,494,4946.79,26.33,35199,35199,0,0,0,,,,,,,,
Spain,Maize,2004,636,47445,12.17,100691,96099,4592,4592,21086464,,,,,,,,
Pakistan,Soybeans,1997,494,16936,22.14,12942,12942,0,0,0,,,,,,,,
India,Soybeans,1996,1083,56114,25.41,10319,10319,0,0,0,,,,,,,,
South Africa,Maize,2011,495,26857,18.75,43671,43671,0,0,0,,,,,,,,
India,"Rice, paddy",2004,1083,35113,26.41,29756,29756,0,0,0,,,,,,,,
India,Wheat,2011,1083,55540,25.64,29886,29886,0,0,0,,,,,,,,
Belgium,Potatoes,2006,847,8244.02,11.48,385452,483955,98503,-98503,9702841009,,,,,,,,
Pakistan,Potatoes,2005,494,7914.31,27.21,180795,180795,0,0,0,,,,,,,,
Peru,Sorghum,2011,1738,15436.91,17.03,33571,39299,5728,-5728,32809984,,,,,,,,
Kenya,Wheat,1998,630,4114,16.53,18951,21064,2113,-2113,4464769,,,,,,,,
United Kingdom,Potatoes,1994,1220,33929,9.86,399956,399956,0,0,0,,,,,,,,
India,Sweet potatoes,2009,1083,28707.01,26.55,90080,90080,0,0,0,,,,,,,,
